Industries,Year,Month,Province,Sales (Millions)
Motor vehicle and parts dealers,2013,1,Alberta,101.882
Motor vehicle and parts dealers,2013,2,Alberta,85.714
Motor vehicle and parts dealers,2013,3,Alberta,101.534
Motor vehicle and parts dealers,2013,4,Alberta,121.155
Motor vehicle and parts dealers,2013,7,Alberta,130.596
Motor vehicle and parts dealers,2013,8,Alberta,126.882
Motor vehicle and parts dealers,2013,9,Alberta,126.558
Motor vehicle and parts dealers,2013,10,Alberta,176.18
Motor vehicle and parts dealers,2013,11,Alberta,171.618
Motor vehicle and parts dealers,2013,12,Alberta,117.167
Motor vehicle and parts dealers,2014,1,Alberta,116.123
Motor vehicle and parts dealers,2014,2,Alberta,99.495
Motor vehicle and parts dealers,2014,3,Alberta,111.636
Motor vehicle and parts dealers,2014,11,Alberta,181.177
Motor vehicle and parts dealers,2015,1,Alberta,110.795
Motor vehicle and parts dealers,2015,2,Alberta,97.833
Motor vehicle and parts dealers,2016,1,Alberta,89.369
Motor vehicle and parts dealers,2016,2,Alberta,83.736
Building material and garden equipment and supplies dealers,2013,2,Alberta,215.888
Building material and garden equipment and supplies dealers,2013,3,Alberta,247.214
Building material and garden equipment and supplies dealers,2013,5,Alberta,405.049
Building material and garden equipment and supplies dealers,2020,4,Alberta,318.208
Building material and garden equipment and supplies dealers,2020,5,Alberta,599.877
Building material and garden equipment and supplies dealers,2021,10,Alberta,475.685
Miscellaneous store retailers,2018,10,Alberta,5.701
Miscellaneous store retailers,2022,3,Alberta,63.174
Miscellaneous store retailers,2022,5,Alberta,67.164
Miscellaneous store retailers,2022,11,Alberta,66.417
Clothing and clothing accessories stores,2019,10,Alberta,402.606
Clothing and clothing accessories stores,2020,10,Alberta,404.101
Clothing and clothing accessories stores,2021,10,Alberta,414.723
Clothing and clothing accessories stores,2019,10,Alberta,334.013
Clothing and clothing accessories stores,2020,10,Alberta,337.999
Clothing and clothing accessories stores,2021,10,Alberta,350.989
Food and beverage store,2015,12,Alberta,65.839
Food and beverage store,2016,3,Alberta,63.303
Food and beverage store,2016,4,Alberta,64.171
Food and beverage store,2016,6,Alberta,69.209
Food and beverage store,2016,9,Alberta,70.645
Food and beverage store,2016,10,Alberta,66.514
Food and beverage store,2016,11,Alberta,62.93
Food and beverage store,2020,3,Alberta,63.59
Food and beverage store,2020,4,Alberta,71.784
Food and beverage store,2020,5,Alberta,86.438
Food and beverage store,2020,6,Alberta,84.31
Food and beverage store,2020,7,Alberta,82.43
Food and beverage store,2020,12,Alberta,69.928
Food and beverage store,2021,1,Alberta,65.244
Food and beverage store,2021,2,Alberta,60.644
Food and beverage store,2021,3,Alberta,63.468
Food and beverage store,2021,6,Alberta,78.394
Food and beverage store,2021,9,Alberta,71.242
Food and beverage store,2021,10,Alberta,66.376
Food and beverage store,2021,11,Alberta,55.831
Food and beverage store,2021,12,Alberta,57.882
Food and beverage store,2022,1,Alberta,56.335
Electronics and appliance stores,2017,2,Alberta,137.739
Electronics and appliance stores,2017,3,Alberta,180.059
Furniture and home furnishings stores,2015,8,Alberta,145.598
Furniture and home furnishings stores,2015,10,Alberta,139.667
Furniture and home furnishings stores,2016,3,Alberta,116.772
Furniture and home furnishings stores,2016,11,Alberta,141.491
Furniture and home furnishings stores,2020,4,Alberta,57.298
Furniture and home furnishings stores,2020,5,Alberta,97.301
Furniture and home furnishings stores,2020,12,Alberta,145.162
Health and personal care stores,2014,6,Alberta,292.622
Health and personal care stores,2022,7,Alberta,469.08
Health and personal care stores,2022,8,Alberta,497.809
Furniture and home furnishings stores,2013,5,Alberta,88.699
Furniture and home furnishings stores,2013,6,Alberta,81.204
Furniture and home furnishings stores,2013,9,Alberta,87.498
Furniture and home furnishings stores,2014,1,Alberta,77.757
Furniture and home furnishings stores,2014,2,Alberta,71.94
Furniture and home furnishings stores,2014,3,Alberta,81.757
Furniture and home furnishings stores,2016,9,Alberta,91.952
Furniture and home furnishings stores,2018,1,Alberta,89.781
Clothing and clothing accessories stores,2014,5,Alberta,40.401
Clothing and clothing accessories stores,2015,9,Alberta,30.885
Clothing and clothing accessories stores,2017,10,Alberta,36.277
Clothing and clothing accessories stores,2020,4,Alberta,3.232
Clothing and clothing accessories stores,2020,5,Alberta,13.486
Clothing and clothing accessories stores,2020,11,Alberta,49.425
Clothing and clothing accessories stores,2022,1,Alberta,29.51
Miscellaneous store retailers,2013,4,Alberta,139.731
Miscellaneous store retailers,2013,7,Alberta,140.681
Miscellaneous store retailers,2013,10,Alberta,135.996
Miscellaneous store retailers,2014,1,Alberta,125.687
Miscellaneous store retailers,2014,2,Alberta,128.888
Miscellaneous store retailers,2014,4,Alberta,133.175
Miscellaneous store retailers,2014,5,Alberta,145.029
Miscellaneous store retailers,2014,7,Alberta,135.148
Miscellaneous store retailers,2014,10,Alberta,155.308
Miscellaneous store retailers,2015,1,Alberta,125.736
Miscellaneous store retailers,2015,2,Alberta,122.275
Miscellaneous store retailers,2015,4,Alberta,140.913
Miscellaneous store retailers,2015,5,Alberta,159.134
Miscellaneous store retailers,2015,7,Alberta,162.22
Miscellaneous store retailers,2015,10,Alberta,154.288
Miscellaneous store retailers,2015,11,Alberta,137.265
Miscellaneous store retailers,2016,8,Alberta,174.384
Miscellaneous store retailers,2016,10,Alberta,170.871
Miscellaneous store retailers,2017,12,Alberta,187.416
Miscellaneous store retailers,2018,6,Alberta,168.925
Miscellaneous store retailers,2020,10,Alberta,232.725
Miscellaneous store retailers,2020,11,Alberta,229.793
Miscellaneous store retailers,2022,3,Alberta,255.74
Miscellaneous store retailers,2022,11,Alberta,284.624
Motor vehicle and parts dealers,2020,12,Alberta,1566.645
Motor vehicle and parts dealers,2013,2,Alberta,91.84
Motor vehicle and parts dealers,2013,4,Alberta,169.699
Motor vehicle and parts dealers,2013,6,Alberta,199.001
Motor vehicle and parts dealers,2013,7,Alberta,197.363
Motor vehicle and parts dealers,2013,8,Alberta,151.585
Motor vehicle and parts dealers,2014,2,Alberta,93.842
Motor vehicle and parts dealers,2014,3,Alberta,127.83
Motor vehicle and parts dealers,2014,4,Alberta,175.707
Motor vehicle and parts dealers,2014,5,Alberta,235.191
Motor vehicle and parts dealers,2014,6,Alberta,208.271
Motor vehicle and parts dealers,2014,7,Alberta,199.531
Motor vehicle and parts dealers,2014,8,Alberta,160.056
Motor vehicle and parts dealers,2014,9,Alberta,130.095
Motor vehicle and parts dealers,2015,4,Alberta,166.982
Motor vehicle and parts dealers,2015,5,Alberta,197.249
Motor vehicle and parts dealers,2015,6,Alberta,205.358
Motor vehicle and parts dealers,2015,7,Alberta,188.473
Motor vehicle and parts dealers,2015,8,Alberta,148.218
Motor vehicle and parts dealers,2016,2,Alberta,116.981
Motor vehicle and parts dealers,2016,3,Alberta,139.651
Motor vehicle and parts dealers,2016,4,Alberta,161.011
Motor vehicle and parts dealers,2017,2,Alberta,129.858
Motor vehicle and parts dealers,2018,5,Alberta,270.867
Motor vehicle and parts dealers,2019,1,Alberta,90.805
Motor vehicle and parts dealers,2019,2,Alberta,101.999
Motor vehicle and parts dealers,2019,10,Alberta,85.236
Motor vehicle and parts dealers,2020,1,Alberta,71.161
Motor vehicle and parts dealers,2020,2,Alberta,114.682
Motor vehicle and parts dealers,2020,8,Alberta,187.173
Motor vehicle and parts dealers,2020,12,Alberta,94.323
Motor vehicle and parts dealers,2021,5,Alberta,262.583
Motor vehicle and parts dealers,2022,1,Alberta,112.003
Motor vehicle and parts dealers,2022,2,Alberta,166.96
Motor vehicle and parts dealers,2022,5,Alberta,312.628
Motor vehicle and parts dealers,2022,11,Alberta,111.179
Food and beverage store,2013,4,Alberta,39.499
Food and beverage store,2013,6,Alberta,40.791
Food and beverage store,2013,8,Alberta,39.869
Food and beverage store,2013,9,Alberta,38.411
Food and beverage store,2013,11,Alberta,51.215
Food and beverage store,2013,12,Alberta,61.92
Food and beverage store,2014,6,Alberta,40.593
Food and beverage store,2014,7,Alberta,38.588
Food and beverage store,2014,9,Alberta,39.562
Food and beverage store,2014,11,Alberta,43.004
Food and beverage store,2014,12,Alberta,70.053
Food and beverage store,2015,1,Alberta,36.114
Food and beverage store,2015,2,Alberta,38.168
Food and beverage store,2015,4,Alberta,42.77
Food and beverage store,2015,5,Alberta,45.166
Food and beverage store,2015,6,Alberta,43.981
Food and beverage store,2015,7,Alberta,42.315
Food and beverage store,2015,8,Alberta,41.444
Food and beverage store,2015,9,Alberta,42.721
Food and beverage store,2015,10,Alberta,42.084
Food and beverage store,2015,11,Alberta,43.968
Food and beverage store,2015,12,Alberta,68.921
Food and beverage store,2016,1,Alberta,36.055
Food and beverage store,2016,2,Alberta,39.103
Food and beverage store,2016,3,Alberta,44.265
Food and beverage store,2016,7,Alberta,39.736
Food and beverage store,2016,10,Alberta,45.606
Food and beverage store,2016,11,Alberta,46.891
Food and beverage store,2017,5,Alberta,54.335
Food and beverage store,2017,8,Alberta,55.756
Food and beverage store,2017,9,Alberta,57.281
Food and beverage store,2017,11,Alberta,59.034
Food and beverage store,2019,11,Alberta,61.927
Food and beverage store,2019,12,Alberta,81.175
Food and beverage store,2020,1,Alberta,46.398
Food and beverage store,2020,2,Alberta,49.728
Food and beverage store,2020,3,Alberta,57.691
Food and beverage store,2020,4,Alberta,42.678
Food and beverage store,2020,5,Alberta,46.073
Food and beverage store,2020,12,Alberta,85.169
Food and beverage store,2021,5,Alberta,44.127
Food and beverage store,2021,6,Alberta,42.365
Food and beverage store,2021,7,Alberta,45.86
Food and beverage store,2021,8,Alberta,47.003
Food and beverage store,2021,9,Alberta,43.032
Food and beverage store,2021,10,Alberta,47.237
Food and beverage store,2022,11,Alberta,60.73
Food and beverage store,2022,12,Alberta,81.77
"Sporting goods, hobby, book and music stores",2020,3,Alberta,83.123
"Sporting goods, hobby, book and music stores",2020,4,Alberta,36.297
"Sporting goods, hobby, book and music stores",2020,5,Alberta,78.16
"Sporting goods, hobby, book and music stores",2020,6,Alberta,149.974
"Sporting goods, hobby, book and music stores",2020,12,Alberta,226.533
"Sporting goods, hobby, book and music stores",2021,4,Alberta,123.356
Food and beverage store,2022,11,Alberta,935.15
Motor vehicle and parts dealers,2013,1,Alberta,43.2
Motor vehicle and parts dealers,2013,9,Alberta,67.707
Motor vehicle and parts dealers,2014,8,Alberta,57.116
Motor vehicle and parts dealers,2014,9,Alberta,77.49
Motor vehicle and parts dealers,2015,1,Alberta,70.928
Motor vehicle and parts dealers,2015,2,Alberta,72.831
Motor vehicle and parts dealers,2015,3,Alberta,90.196
Motor vehicle and parts dealers,2015,5,Alberta,98.331
Motor vehicle and parts dealers,2015,6,Alberta,111.248
Motor vehicle and parts dealers,2015,9,Alberta,116.094
Motor vehicle and parts dealers,2015,10,Alberta,114.481
Motor vehicle and parts dealers,2016,2,Alberta,86.259
Motor vehicle and parts dealers,2016,10,Alberta,113.135
Motor vehicle and parts dealers,2016,12,Alberta,90.53
Motor vehicle and parts dealers,2017,1,Alberta,99.77
Motor vehicle and parts dealers,2017,3,Alberta,116.138
Motor vehicle and parts dealers,2017,10,Alberta,92.271
Motor vehicle and parts dealers,2018,2,Alberta,107.342
Motor vehicle and parts dealers,2018,3,Alberta,120.803
Motor vehicle and parts dealers,2018,4,Alberta,121.819
Motor vehicle and parts dealers,2019,9,Alberta,112.5
Motor vehicle and parts dealers,2020,3,Alberta,62.837
Motor vehicle and parts dealers,2020,4,Alberta,42.638
Motor vehicle and parts dealers,2020,5,Alberta,65.763
Motor vehicle and parts dealers,2020,7,Alberta,140.374
Motor vehicle and parts dealers,2020,8,Alberta,100.468
Motor vehicle and parts dealers,2020,12,Alberta,106.372
Motor vehicle and parts dealers,2021,2,Alberta,113.643
Motor vehicle and parts dealers,2021,4,Alberta,154.703
Motor vehicle and parts dealers,2021,5,Alberta,126.329
Motor vehicle and parts dealers,2021,6,Alberta,142.229
Motor vehicle and parts dealers,2021,7,Alberta,141.143
Motor vehicle and parts dealers,2021,9,Alberta,179.13
Motor vehicle and parts dealers,2021,10,Alberta,166.565
Motor vehicle and parts dealers,2021,11,Alberta,162.163
Motor vehicle and parts dealers,2021,12,Alberta,99.269
Motor vehicle and parts dealers,2022,8,Alberta,118.491
Motor vehicle and parts dealers,2022,12,Alberta,95.996
Motor vehicle and parts dealers,2022,7,British Columbia,1514.137
Motor vehicle and parts dealers,2014,11,British Columbia,153.651
Food and beverage store,2018,10,British Columbia,413.293
Food and beverage store,2018,11,British Columbia,372.39
Food and beverage store,2018,12,British Columbia,493.889
Building material and garden equipment and supplies dealers,2020,4,British Columbia,495.014
Building material and garden equipment and supplies dealers,2022,1,British Columbia,399.782
Building material and garden equipment and supplies dealers,2022,2,British Columbia,468.888
Building material and garden equipment and supplies dealers,2022,4,British Columbia,579.334
Building material and garden equipment and supplies dealers,2022,5,British Columbia,656.877
Building material and garden equipment and supplies dealers,2022,6,British Columbia,653.328
Building material and garden equipment and supplies dealers,2022,10,British Columbia,526.588
Building material and garden equipment and supplies dealers,2022,11,British Columbia,483.253
Building material and garden equipment and supplies dealers,2022,12,British Columbia,400.742
Miscellaneous store retailers,2019,1,British Columbia,1.963
Clothing and clothing accessories stores,2020,3,British Columbia,198.374
Clothing and clothing accessories stores,2020,3,British Columbia,159.247
Clothing and clothing accessories stores,2020,10,British Columbia,380.877
Clothing and clothing accessories stores,2020,11,British Columbia,412.562
Food and beverage store,2014,1,British Columbia,50.608
Food and beverage store,2014,3,British Columbia,51.073
Food and beverage store,2014,8,British Columbia,62.06
Food and beverage store,2014,10,British Columbia,57.919
Food and beverage store,2015,9,British Columbia,58.76
Food and beverage store,2015,10,British Columbia,59.589
Food and beverage store,2020,12,British Columbia,53.851
Food and beverage store,2021,2,British Columbia,46.488
Food and beverage store,2021,3,British Columbia,54.74
Food and beverage store,2021,4,British Columbia,63.072
Food and beverage store,2021,5,British Columbia,66.442
Food and beverage store,2021,6,British Columbia,66.057
Food and beverage store,2021,7,British Columbia,70.963
Food and beverage store,2021,8,British Columbia,65.225
Food and beverage store,2021,9,British Columbia,66.151
Food and beverage store,2021,11,British Columbia,57.209
Food and beverage store,2021,12,British Columbia,58.949
Food and beverage store,2022,2,British Columbia,58.706
Food and beverage store,2022,5,British Columbia,62.06
Food and beverage store,2022,6,British Columbia,64.888
Food and beverage store,2022,8,British Columbia,65.505
Food and beverage store,2022,11,British Columbia,53.365
Furniture and home furnishings stores,2020,4,British Columbia,101.695
Furniture and home furnishings stores,2020,5,British Columbia,152.393
Furniture and home furnishings stores,2020,6,British Columbia,235.427
Furniture and home furnishings stores,2016,6,British Columbia,124.929
Furniture and home furnishings stores,2020,4,British Columbia,54.513
Furniture and home furnishings stores,2020,5,British Columbia,97.28
Furniture and home furnishings stores,2020,6,British Columbia,145.993
Furniture and home furnishings stores,2021,2,British Columbia,104.484
Furniture and home furnishings stores,2021,3,British Columbia,136.343
Gasoline stations,2017,1,British Columbia,672.751
Gasoline stations,2017,3,British Columbia,711.055
Gasoline stations,2017,11,British Columbia,743.625
Gasoline stations,2017,12,British Columbia,730.94
Gasoline stations,2018,6,British Columbia,846.34
Gasoline stations,2018,7,British Columbia,877.165
Gasoline stations,2018,8,British Columbia,875.977
Gasoline stations,2018,9,British Columbia,798.044
Gasoline stations,2018,10,British Columbia,803.897
Gasoline stations,2018,11,British Columbia,747.534
Gasoline stations,2018,12,British Columbia,764.681
Gasoline stations,2019,3,British Columbia,779.033
Gasoline stations,2019,4,British Columbia,777.492
Gasoline stations,2019,8,British Columbia,855.095
Gasoline stations,2019,9,British Columbia,783.426
Gasoline stations,2019,10,British Columbia,810.47
Gasoline stations,2019,12,British Columbia,712.381
Gasoline stations,2020,1,British Columbia,732.687
Gasoline stations,2020,2,British Columbia,748.126
Gasoline stations,2020,3,British Columbia,607.285
Gasoline stations,2020,5,British Columbia,495.369
Gasoline stations,2020,7,British Columbia,809.935
Gasoline stations,2020,12,British Columbia,596.142
Gasoline stations,2021,2,British Columbia,668.289
Gasoline stations,2021,3,British Columbia,835.334
Gasoline stations,2021,4,British Columbia,838.878
Gasoline stations,2021,11,British Columbia,825.681
Food and beverage store,2022,11,British Columbia,1290.929
Health and personal care stores,2014,6,British Columbia,359.064
Health and personal care stores,2020,12,British Columbia,661.809
Health and personal care stores,2022,1,British Columbia,510.511
Health and personal care stores,2022,7,British Columbia,520.284
Health and personal care stores,2022,10,British Columbia,528.742
Health and personal care stores,2022,11,British Columbia,564.03
Health and personal care stores,2022,12,British Columbia,633.231
Furniture and home furnishings stores,2014,7,British Columbia,83.169
Furniture and home furnishings stores,2014,9,British Columbia,90.628
Furniture and home furnishings stores,2014,10,British Columbia,88.469
Furniture and home furnishings stores,2014,11,British Columbia,98.849
Furniture and home furnishings stores,2014,12,British Columbia,113.829
Furniture and home furnishings stores,2015,4,British Columbia,91.193
Furniture and home furnishings stores,2016,3,British Columbia,94.184
Furniture and home furnishings stores,2018,2,British Columbia,87.087
Furniture and home furnishings stores,2018,10,British Columbia,91.388
Furniture and home furnishings stores,2020,2,British Columbia,83.001
Furniture and home furnishings stores,2020,3,British Columbia,78.052
Furniture and home furnishings stores,2020,4,British Columbia,47.182
Furniture and home furnishings stores,2020,5,British Columbia,55.113
Furniture and home furnishings stores,2020,7,British Columbia,110.782
Furniture and home furnishings stores,2020,8,British Columbia,100.616
Furniture and home furnishings stores,2020,10,British Columbia,99.208
Furniture and home furnishings stores,2020,12,British Columbia,147.862
Furniture and home furnishings stores,2021,1,British Columbia,93.721
Furniture and home furnishings stores,2021,5,British Columbia,90.172
Furniture and home furnishings stores,2021,6,British Columbia,102.029
Furniture and home furnishings stores,2021,7,British Columbia,98.442
Clothing and clothing accessories stores,2018,12,British Columbia,76.622
Clothing and clothing accessories stores,2020,1,British Columbia,41.3
Clothing and clothing accessories stores,2020,3,British Columbia,21.633
Clothing and clothing accessories stores,2020,4,British Columbia,10.362
Clothing and clothing accessories stores,2020,5,British Columbia,18.429
Clothing and clothing accessories stores,2020,6,British Columbia,33.956
Clothing and clothing accessories stores,2021,1,British Columbia,45.254
Clothing and clothing accessories stores,2021,2,British Columbia,55.395
Clothing and clothing accessories stores,2021,4,British Columbia,45.032
Clothing and clothing accessories stores,2021,5,British Columbia,57.226
Clothing and clothing accessories stores,2021,6,British Columbia,57.755
Clothing and clothing accessories stores,2021,12,British Columbia,111.534
Miscellaneous store retailers,2013,1,British Columbia,132.149
Miscellaneous store retailers,2013,2,British Columbia,121
Miscellaneous store retailers,2013,3,British Columbia,129.369
Miscellaneous store retailers,2013,4,British Columbia,143.363
Miscellaneous store retailers,2013,5,British Columbia,153.076
Motor vehicle and parts dealers,2013,3,Ontario,122.118
Motor vehicle and parts dealers,2013,4,Ontario,165.016
Motor vehicle and parts dealers,2013,5,Ontario,172.385
Motor vehicle and parts dealers,2013,6,Ontario,153.457
Motor vehicle and parts dealers,2013,7,Ontario,165.968
Motor vehicle and parts dealers,2013,8,Ontario,165.513
Motor vehicle and parts dealers,2014,1,Ontario,134.314
Motor vehicle and parts dealers,2014,2,Ontario,121.94
Motor vehicle and parts dealers,2014,3,Ontario,144.409
Motor vehicle and parts dealers,2014,4,Ontario,198.085
Motor vehicle and parts dealers,2014,5,Ontario,196.098
Motor vehicle and parts dealers,2014,6,Ontario,174.479
Motor vehicle and parts dealers,2014,7,Ontario,179.018
Motor vehicle and parts dealers,2014,8,Ontario,164.729
Motor vehicle and parts dealers,2014,9,Ontario,182.879
Motor vehicle and parts dealers,2017,4,Ontario,208.277
Motor vehicle and parts dealers,2020,4,Ontario,218.4
Motor vehicle and parts dealers,2021,4,Ontario,327.179
Motor vehicle and parts dealers,2021,10,Ontario,338.888
Motor vehicle and parts dealers,2022,1,Ontario,250.254
Motor vehicle and parts dealers,2022,9,Ontario,358.532
Building material and garden equipment and supplies dealers,2019,7,Ontario,1532.397
Building material and garden equipment and supplies dealers,2020,2,Ontario,759.548
Building material and garden equipment and supplies dealers,2020,3,Ontario,987.028
Building material and garden equipment and supplies dealers,2020,4,Ontario,799.793
Building material and garden equipment and supplies dealers,2020,10,Ontario,1604.146
Building material and garden equipment and supplies dealers,2020,11,Ontario,1552.061
Building material and garden equipment and supplies dealers,2022,1,Ontario,1082.632
Miscellaneous store retailers,2019,4,Ontario,19.677
Clothing and clothing accessories stores,2020,4,Ontario,74.976
Food and beverage store,2013,2,Ontario,139.166
Food and beverage store,2013,5,Ontario,180.455
Food and beverage store,2013,8,Ontario,178.527
Food and beverage store,2013,11,Ontario,153.397
Food and beverage store,2014,2,Ontario,143.741
Food and beverage store,2014,3,Ontario,160.211
Food and beverage store,2014,5,Ontario,187.942
Food and beverage store,2014,8,Ontario,207.101
Food and beverage store,2014,11,Ontario,185.069
Food and beverage store,2015,5,Ontario,200.396
Food and beverage store,2016,2,Ontario,173.1
Food and beverage store,2016,5,Ontario,196.779
Food and beverage store,2016,11,Ontario,187.019
Food and beverage store,2017,9,Ontario,230.668
Food and beverage store,2017,10,Ontario,229.845
Food and beverage store,2017,11,Ontario,208.456
Food and beverage store,2018,9,Ontario,235.343
Food and beverage store,2018,12,Ontario,222.428
Food and beverage store,2020,12,Ontario,235.395
Food and beverage store,2021,2,Ontario,204.42
Food and beverage store,2021,4,Ontario,232.034
Food and beverage store,2021,10,Ontario,214.89
Food and beverage store,2021,11,Ontario,190.218
Electronics and appliance stores,2016,9,Ontario,539.445
Furniture and home furnishings stores,2020,4,Ontario,168.477
Furniture and home furnishings stores,2016,6,Ontario,327.648
Furniture and home furnishings stores,2016,9,Ontario,378.553
Furniture and home furnishings stores,2020,4,Ontario,90.143
Furniture and home furnishings stores,2020,5,Ontario,195.389
Gasoline stations,2020,4,Ontario,787.102
Furniture and home furnishings stores,2013,11,Ontario,234.599
Furniture and home furnishings stores,2015,5,Ontario,192.67
Furniture and home furnishings stores,2015,11,Ontario,259.997
Furniture and home furnishings stores,2016,8,Ontario,221.062
Furniture and home furnishings stores,2020,2,Ontario,190.708
Furniture and home furnishings stores,2020,3,Ontario,147.848
Furniture and home furnishings stores,2020,4,Ontario,78.334
Furniture and home furnishings stores,2020,5,Ontario,96.895
Furniture and home furnishings stores,2020,6,Ontario,194.439
Furniture and home furnishings stores,2020,7,Ontario,223.363
Furniture and home furnishings stores,2020,8,Ontario,221.776
Furniture and home furnishings stores,2021,1,Ontario,142.378
Furniture and home furnishings stores,2022,12,Ontario,311.794
Clothing and clothing accessories stores,2013,1,Ontario,64.911
Clothing and clothing accessories stores,2013,2,Ontario,79.084
Clothing and clothing accessories stores,2013,5,Ontario,94.255
Clothing and clothing accessories stores,2013,7,Ontario,83.592
Clothing and clothing accessories stores,2017,10,Ontario,118.269
Clothing and clothing accessories stores,2020,6,Ontario,67.501
Clothing and clothing accessories stores,2022,1,Ontario,110.212
Miscellaneous store retailers,2020,5,Ontario,413.238
Miscellaneous store retailers,2020,6,Ontario,533.286
Miscellaneous store retailers,2020,7,Ontario,586.216
Miscellaneous store retailers,2020,8,Ontario,627.494
Miscellaneous store retailers,2020,9,Ontario,690.825
Miscellaneous store retailers,2020,10,Ontario,687.632
Miscellaneous store retailers,2020,11,Ontario,688.218
Miscellaneous store retailers,2020,12,Ontario,709.749
Miscellaneous store retailers,2021,6,Ontario,615.885
Miscellaneous store retailers,2021,12,Ontario,757.939
Motor vehicle and parts dealers,2013,6,Ontario,193.516
Motor vehicle and parts dealers,2013,10,Ontario,121.733
Motor vehicle and parts dealers,2013,11,Ontario,85.614
Motor vehicle and parts dealers,2013,12,Ontario,65.093
Motor vehicle and parts dealers,2015,1,Ontario,68.455
Motor vehicle and parts dealers,2015,2,Ontario,83.938
Motor vehicle and parts dealers,2015,3,Ontario,96.44
Motor vehicle and parts dealers,2015,7,Ontario,226.883
Motor vehicle and parts dealers,2015,9,Ontario,178.379
Motor vehicle and parts dealers,2015,12,Ontario,92.633
Motor vehicle and parts dealers,2016,1,Ontario,85.061
Motor vehicle and parts dealers,2016,5,Ontario,271.908
Motor vehicle and parts dealers,2017,3,Ontario,189.226
Motor vehicle and parts dealers,2017,4,Ontario,279.173
Motor vehicle and parts dealers,2017,6,Ontario,273.798
Motor vehicle and parts dealers,2017,10,Ontario,193.23
Motor vehicle and parts dealers,2018,1,Ontario,119.908
Motor vehicle and parts dealers,2018,2,Ontario,128.284
Motor vehicle and parts dealers,2018,5,Ontario,446.938
Motor vehicle and parts dealers,2018,7,Ontario,350.329
Motor vehicle and parts dealers,2018,12,Ontario,133.309
Motor vehicle and parts dealers,2019,1,Ontario,112.542
Motor vehicle and parts dealers,2019,2,Ontario,116.49
Motor vehicle and parts dealers,2019,3,Ontario,192.879
Motor vehicle and parts dealers,2019,5,Ontario,392.617
Motor vehicle and parts dealers,2019,11,Ontario,231.061
Motor vehicle and parts dealers,2019,12,Ontario,134.186
Motor vehicle and parts dealers,2020,1,Ontario,113.495
Motor vehicle and parts dealers,2020,2,Ontario,123.245
Motor vehicle and parts dealers,2020,3,Ontario,156.86
Motor vehicle and parts dealers,2020,4,Ontario,107.93
Motor vehicle and parts dealers,2020,6,Ontario,561.333
Motor vehicle and parts dealers,2020,10,Ontario,248.277
Motor vehicle and parts dealers,2020,11,Ontario,249.455
Motor vehicle and parts dealers,2021,2,Ontario,161.847
Motor vehicle and parts dealers,2021,3,Ontario,375.686
Motor vehicle and parts dealers,2021,4,Ontario,414.273
Motor vehicle and parts dealers,2021,5,Ontario,605.828
Motor vehicle and parts dealers,2021,10,Ontario,253.725
Motor vehicle and parts dealers,2021,11,Ontario,198.288
Motor vehicle and parts dealers,2021,12,Ontario,225.912
Motor vehicle and parts dealers,2022,2,Ontario,109.555
Motor vehicle and parts dealers,2022,3,Ontario,242.844
Motor vehicle and parts dealers,2022,7,Ontario,383.502
Motor vehicle and parts dealers,2022,8,Ontario,332.613
Motor vehicle and parts dealers,2022,11,Ontario,208.458
Motor vehicle and parts dealers,2022,12,Ontario,238.79
Food and beverage store,2013,2,Ontario,148.088
Food and beverage store,2013,3,Ontario,176.784
Food and beverage store,2013,4,Ontario,164.938
Food and beverage store,2013,5,Ontario,186.163
Food and beverage store,2013,6,Ontario,186.941
Food and beverage store,2013,8,Ontario,203.231
Food and beverage store,2013,10,Ontario,196.832
Food and beverage store,2013,11,Ontario,199.581
Food and beverage store,2013,12,Ontario,265.885
Food and beverage store,2014,1,Ontario,144.248
Food and beverage store,2014,2,Ontario,163.622
Food and beverage store,2014,3,Ontario,193.23
Food and beverage store,2014,4,Ontario,208.397
Food and beverage store,2014,5,Ontario,215.416
Food and beverage store,2014,7,Ontario,212.611
Food and beverage store,2014,8,Ontario,211.65
Food and beverage store,2014,10,Ontario,216.858
Food and beverage store,2014,11,Ontario,209.056
Food and beverage store,2015,1,Ontario,153.407
Food and beverage store,2015,7,Ontario,227.892
Food and beverage store,2015,12,Ontario,305.722
Food and beverage store,2016,4,Ontario,193.197
Food and beverage store,2016,6,Ontario,212.48
Food and beverage store,2016,7,Ontario,218.265
Food and beverage store,2016,8,Ontario,207.62
Food and beverage store,2016,9,Ontario,222.54
Food and beverage store,2016,10,Ontario,218.562
Food and beverage store,2016,11,Ontario,216.938
Food and beverage store,2019,12,Ontario,385.63
Food and beverage store,2020,1,Ontario,215.195
Food and beverage store,2020,2,Ontario,239.032
Food and beverage store,2020,3,Ontario,273.073
Food and beverage store,2020,4,Ontario,223.133
Food and beverage store,2020,5,Ontario,262.629
Food and beverage store,2020,6,Ontario,276.363
Food and beverage store,2020,7,Ontario,280.043
Food and beverage store,2020,10,Ontario,293.448
Food and beverage store,2020,11,Ontario,300.394
Food and beverage store,2020,12,Ontario,370.008
Food and beverage store,2021,2,Ontario,245.389
"Sporting goods, hobby, book and music stores",2020,3,Ontario,237.14
"Sporting goods, hobby, book and music stores",2020,4,Ontario,125.402
